studio,polish title,release year,duration (mi),director,screenplay,genre,country,universe,boxoffice (USD),budget (USD),original title,distribution
"['Zespół Filmowy ""X""']",Przesłuchanie,1982,111,['Ryszard Bugajski'],"['Ryszard Bugajski', 'Janusz Dymek']","['Drama', 'Political']",['Poland'],,,,Przesłuchanie,Best Film
['Zespol Filmowy Perspektywa'],Miś,1980,111,['Stanisław Bareja'],"['Stanisław Bareja', 'Stanisław Tym']",['Comedy'],['Poland'],,,,Miś,
"['Jerry Bruckheimer Films', 'Revolution Studios', 'Scott Free Productions']",Helikopter w ogniu,2001,144,['Ridley Scott'],['Ken Nolan'],"['Drama', 'War']","['USA', 'Great Britain']",,172989651,92000000,Black Hawk Down,Warner Bros.
"['BenderSpink', 'FilmEngine', 'Katalyst Films']",Efekt motyla,2004,113,"['J. Mackye Gruber', 'Eric Bress']","['J. Mackye Gruber', 'Eric Bress']","['Thriller', 'Sci-fi']","['USA', 'Canada']",,96822421,13000000,The Butterfly Effect,Monolith
"['Regency Enterprises', 'Twentieth Century Fox Film Corporation', 'New Regency Pictures']",Zaginiona dziewczyna,2014,149,['David Fincher'],['Gillian Flynn'],['Thriller'],['USA'],,369330363,61000000,Gone Girl,Imperial - Cinepix
"['Constantin Film Produktion', 'Arturo González Producciones Cinematográficas', 'Produzioni Europee Associati']",Za kilka dolarów więcej,1965,132,['Sergio Leone'],"['Sergio Leone', 'Sergio Donati']",['Western'],"['Spain', 'Italy', 'Germany']",,15000000,750000,Per qualche dollaro in più,
"['Channel Four Films', 'Figment Films', 'The Noel Gay Motion Picture Company']",Trainspotting,1996,94,['Danny Boyle'],['John Hodge'],['Drama'],['Great Britain'],,71991080,3500000,Trainspotting,
"['Weinstein Company, The', 'Mirage Enterprises', 'Deutsche Filmförderfonds']",Lektor,2008,124,['Stephen Daldry'],['David Hare'],['Drama'],"['USA', 'Germany']",,108902486,32000000,The Reader,Kino Świat
"['Apostle', 'Avery Pix', 'New Line Cinema']",Blow,2001,124,['Ted Demme'],"['Nick Cassavetes', 'David McKenna']","['Biography', 'Drama', 'Crime']",['USA'],,83282296,53000000,Blow,Kino Świat
"['Allfilm', 'Georgian Film']",Mandarynki,2013,90,['Zaza Urushadze'],['Zaza Urushadze'],"['Drama', 'War']","['Estonia', 'Georgia']",,1024132,,Mandariinid,Art House
"['UK Film Council', 'Weinstein Company, The', 'Aegis Film Fund']",Jak zostać królem,2010,118,['Tom Hooper'],['David Seidler'],"['Biography', 'Drama']","['Great Britain', 'Australia', 'USA']",,427374317,15000000,The King's Speech,Kino Świat
"['Shinchosha Company', 'Studio Ghibli']",Grobowiec świetlików,1988,89,['Isao Takahata'],['Isao Takahata'],"['Drama', 'Anime']",['Japan'],['Studio Ghibli'],,,Hotaru no Haka,Mayfly
"['Cross Creek Pictures', 'Exclusive Media Group', 'Double Negative']",Wyścig,2013,123,['Ron Howard'],['Peter Morgan'],"['Biography', 'Drama', 'Sporty']","['USA', 'Germany', 'Great Britain']",,96983009,38000000,Rush,ITI Cinema Sp. z o.o.
"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",Piraci z Karaibów: Klątwa Czarnej Perły,2003,143,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio']","['Fantasy', 'Adventure']",['USA'],['Piraci z Karaibów'],654264015,140000000,Pirates of the Caribbean: The Curse of the Black Pearl,Forum Film Poland
"['Warner Bros.', 'Malpaso Productions']",Bez przebaczenia,1992,131,['Clint Eastwood'],['David Webb Peoples'],['Western'],['USA'],,159167799,14400000,Unforgiven,
"['Warner Bros. Pictures', 'Albert S. Ruddy Productions', 'Epsilon Motion Pictures']",Za wszelką cenę,2004,132,['Clint Eastwood'],['Paul Haggis'],['Drama'],['USA'],,216763646,30000000,Million Dollar Baby,Best Film
"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",Piraci z Karaibów: Skrzynia umarlaka,2006,150,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio']","['Fantasy', 'Adventure']",['USA'],['Piraci z Karaibów'],1066179747,225000000,Pirates of the Caribbean: Dead Man's Chest,Forum Film Poland
"['Chernin Entertainment', 'Twentieth Century Fox']",Le Mans '66,2019,152,['James Mangold'],"['Jez Butterworth', 'John-Henry Butterworth']","['Biography', 'Drama', 'Sporty']",['USA'],,225508210,97600000,Ford v Ferrari,Imperial - Cinepix
"['Evolution Independent', 'r2 films', 'Rainmaker Films']",Witaj w klubie,2013,117,['Jean-Marc Vallée'],"['Craig Borten', 'Melisa Wallack']","['Biography', 'Drama']",['USA'],,55198285,5000000,Dallas Buyers Club,Vue Movie Distribution
"['Film Rites', 'Imagine Entertainment', 'Relativity Media']",American Gangster,2007,157,['Ridley Scott'],['Steven Zaillian'],"['Biography', 'Drama', 'Crime']","['USA', 'Great Britain']",,269755430,100000000,American Gangster,United International Pictures Sp z o.o.
"['Bob Yari Productions', 'Bulls Eye Entertainment', 'Contagious Entertainment']",Iluzjonista,2006,110,['Neil Burger'],['Neil Burger'],"['Fantasy', 'Costume']","['USA', 'The czech republic']",,87892388,16500000,The Illusionist,SPI International Polska Sp. z o.o.
"['BreakThru Productions', 'Centrum Technologii Audiowizualnych', 'Odra Film']",Twój Vincent,2017,95,"['Dorota Kobiela', 'Hugh Welchman']","['Hugh Welchman', 'Dorota Kobiela']","['Animation', 'Drama', 'Crime']","['Poland', 'Great Britain']",,42187665,5500000,Loving Vincent,Next Film
"['Fox Searchlight Pictures', 'Indian Paintbrush', 'Studio Babelsberg']",Grand Budapest Hotel,2014,100,['Wes Anderson'],['Wes Anderson'],"['Drama', 'Comedy']","['USA', 'Germany']",,173082189,25000000,The Grand Budapest Hotel,Imperial - Cinepix
['Paramount Pictures'],Co gryzie Gilberta Grape'a,1993,118,['Lasse Hallström'],['Peter Hedges'],['Drama'],['USA'],,10032765,11000000,What's Eating Gilbert Grape,
"['Danmarks Radio', 'Det Danske Filminstitut', 'Eurimages']",Polowanie,2012,115,['Thomas Vinterberg'],"['Thomas Vinterberg', 'Tobias Lindholm']",['Drama'],"['Denmark', 'Sweden']",,15886373,3800000,Jagten,Kino Świat
